epoch,train_loss,val_loss,val_dice,val_iou
1,1.393611,1.278041,0.597222,0.597222
2,1.333888,1.221298,0.597222,0.597222
3,1.337561,1.238897,0.597222,0.597222
4,1.394298,1.315472,0.597222,0.597222
5,1.298066,1.165999,0.621347,0.611986
6,1.174198,0.878858,0.807746,0.750649
7,1.777384,0.979508,0.711578,0.659021
8,1.151815,0.944102,0.739116,0.681965
9,0.985756,0.802000,0.722369,0.658794
10,0.895850,0.679185,0.821990,0.768823
11,1.334019,0.913821,0.799579,0.741564
12,1.042087,0.804255,0.799128,0.743921
13,0.809152,0.634285,0.710441,0.649543
14,0.733812,0.572159,0.798355,0.743063
15,0.728521,0.571120,0.816436,0.767646
16,0.727106,0.587527,0.659390,0.597078
17,0.839208,1.441659,0.065525,0.039692
18,0.793598,0.619525,0.714552,0.651447
19,0.743188,0.595825,0.700703,0.638808
20,3.556268,2.163873,0.597222,0.597222
21,1.557564,1.229323,0.597222,0.597222
22,1.340066,1.235932,0.597222,0.597222
23,1.344148,1.269022,0.597222,0.597222
24,1.352838,1.230227,0.597222,0.597222
25,1.337727,1.226413,0.597222,0.597222
26,1.332998,1.232813,0.597222,0.597222
27,2.754943,1.219216,0.597222,0.597222
28,1.455746,1.231809,0.597222,0.597222
29,1.363189,1.260702,0.597222,0.597222
30,1.338789,1.223993,0.597222,0.597222
31,1.325243,1.229603,0.597222,0.597222
32,1.318659,1.208453,0.597222,0.597222
33,1.318905,1.210907,0.682148,0.650862
34,1.330940,1.189929,0.624449,0.613745
35,1.282783,1.113847,0.715462,0.660742
36,1.262662,1.148108,0.638945,0.574978
37,1.266479,1.150629,0.660506,0.636549
38,1.224690,1.037363,0.789981,0.724382
39,1.220574,1.046745,0.780618,0.716415
40,1.130838,0.976244,0.795233,0.731032
41,1.180767,1.247092,0.649296,0.629700
42,1.406227,1.166532,0.652491,0.631748
43,1.287634,1.155847,0.744667,0.693794
44,1.204141,1.022075,0.796973,0.731389
45,1.147227,0.972292,0.744860,0.678044
46,1.127423,1.023111,0.745171,0.685248
47,1.223149,1.027506,0.736092,0.678341
48,290.674715,2.209032,0.597222,0.597222
49,1.747345,1.461697,0.597222,0.597222
50,1.502035,1.451987,0.597222,0.597222
51,1.492788,1.441624,0.597222,0.597222
52,1.483848,1.431727,0.597222,0.597222
53,1.475851,1.421912,0.597222,0.597222
54,1.467530,1.414330,0.597222,0.597222
55,1.460739,1.406232,0.597222,0.597222
56,1.454219,1.398420,0.597222,0.597222
57,1.447792,1.391762,0.597222,0.597222
58,1.442203,1.385054,0.597222,0.597222
59,1.436799,1.378866,0.597222,0.597222
60,1.431770,1.373061,0.597222,0.597222
61,1.426997,1.367723,0.597222,0.597222
62,1.422680,1.362381,0.597222,0.597222
63,1.418439,1.357493,0.597222,0.597222
64,1.414496,1.352906,0.597222,0.597222
65,1.410844,1.348435,0.597222,0.597222
66,1.407263,1.344422,0.597222,0.597222
67,1.404105,1.340192,0.597222,0.597222
68,1.400992,1.336225,0.597222,0.597222
69,1.397913,1.332794,0.597222,0.597222
70,1.395173,1.329451,0.597222,0.597222
71,1.392616,1.325965,0.597222,0.597222
72,1.390113,1.322666,0.597222,0.597222
73,1.387766,1.319533,0.597222,0.597222
74,1.385348,1.316973,0.597222,0.597222
75,1.383278,1.314414,0.597222,0.597222
76,1.381310,1.311730,0.597222,0.597222
77,1.379529,1.308825,0.597222,0.597222
78,1.377612,1.306341,0.597222,0.597222
79,1.375727,1.304419,0.597222,0.597222
80,1.374269,1.302077,0.597222,0.597222
81,1.372600,1.300132,0.597222,0.597222
82,1.371253,1.297871,0.597222,0.597222
83,1.369718,1.296175,0.597222,0.597222
84,1.368413,1.294418,0.597222,0.597222
85,1.367255,1.292398,0.597222,0.597222
86,1.365929,1.290871,0.597222,0.597222
87,1.364838,1.289070,0.597222,0.597222
88,1.363677,1.287667,0.597222,0.597222
89,1.362748,1.285947,0.597222,0.597222
90,1.361746,1.284371,0.597222,0.597222
91,1.360755,1.283190,0.597222,0.597222
92,1.359874,1.281891,0.597222,0.597222
93,1.359060,1.280498,0.597222,0.597222
94,1.358351,1.279006,0.597222,0.597222
95,1.357493,1.277840,0.597222,0.597222
96,1.356713,1.277039,0.597222,0.597222
97,1.356151,1.275710,0.597222,0.597222
98,1.355395,1.274805,0.597222,0.597222
99,1.354834,1.273694,0.597222,0.597222
100,1.354245,1.272764,0.597222,0.597222
