epoch,train_loss,val_loss,val_dice,val_iou
1,1.199074,1.082839,0.597222,0.597222
2,1.140025,1.025114,0.597222,0.597222
3,1.142690,1.037636,0.597222,0.597222
4,1.081430,0.997811,0.797835,0.737811
5,3.301222,1.039333,0.597222,0.597222
6,1.151502,1.103943,0.597222,0.597222
7,1.186273,1.042511,0.597222,0.597222
8,1.148441,1.070434,0.597222,0.597222
9,1.141016,1.028108,0.597222,0.597222
10,1.132554,1.032591,0.597222,0.597222
11,1.114820,0.990282,0.637678,0.622853
12,1.079534,1.028069,0.768766,0.705640
13,1.055814,1.043532,0.807852,0.744390
14,151.379545,1.042924,0.597222,0.597222
15,1.461186,1.307131,0.023770,0.012548
16,1.240112,1.047962,0.597222,0.597222
17,1.199381,1.062903,0.597222,0.597222
18,1.157568,1.059302,0.597222,0.597222
19,1.166001,1.048967,0.597222,0.597222
20,1.155220,1.067083,0.597222,0.597222
21,1.149320,1.044236,0.597222,0.597222
22,1.148991,1.057118,0.597222,0.597222
23,1.151589,1.054610,0.597222,0.597222
24,1.152347,1.048111,0.597222,0.597222
25,1.145136,1.040971,0.597222,0.597222
26,1.140887,1.033697,0.597222,0.597222
27,1.144778,1.041042,0.597222,0.597222
28,1.139257,1.029414,0.597222,0.597222
29,1.155571,1.087155,0.597222,0.597222
30,1.151071,1.032106,0.597222,0.597222
31,1.128086,1.027898,0.597222,0.597222
32,1.122647,1.012463,0.597222,0.597222
33,1.121678,1.036955,0.597222,0.597222
34,1.129600,1.008514,0.597222,0.597222
35,1.104565,0.992101,0.597222,0.597222
36,1.088276,0.988652,0.601448,0.599447
37,1.083229,0.948922,0.623189,0.612622
38,1.083208,0.927246,0.599454,0.598370
39,1.032869,0.852476,0.736181,0.675355
40,0.892479,0.698889,0.748895,0.682335
41,1.760144,1.040466,0.597222,0.597222
42,1.148834,1.036308,0.597222,0.597222
43,1.059167,0.778166,0.664455,0.598933
44,0.805698,0.637709,0.729993,0.663501
45,0.786581,0.583152,0.679379,0.613694
46,0.703683,0.555797,0.734579,0.668917
47,0.746929,0.573759,0.429887,0.368688
48,0.716230,0.534069,0.640896,0.575459
49,0.742754,0.644786,0.764064,0.698467
50,0.890343,0.620488,0.618039,0.552669
