Model,Data Regime,Train-Val Gap,Validation Trend,Severity
efficientnet_b0,100%,0.05110167306286251,0.00215305304654844,Low
efficientnet_b0,20%,0.11951994844260083,0.004579028310264879,Medium
efficientnet_b0,5%,0.2901970429467028,0.01628869105638226,High
inception_v3,100%,0.04716122118996591,0.006957350488444152,Low
inception_v3,20%,0.12521530201101982,0.027734095782701928,Medium
inception_v3,5%,0.2820370925469037,0.03174128706651938,High
resnet50,100%,0.04591780277193758,0.004968917191933681,Low
resnet50,20%,0.13918260040074626,0.017809257694890303,Medium
resnet50,5%,0.2637495804735077,0.07427383195789201,High
