epoch,train_loss,val_loss,val_dice,val_iou
1,1.199120,1.083127,0.597222,0.597222
2,1.139827,1.025832,0.597222,0.597222
3,1.143399,1.041584,0.597222,0.597222
4,1.467533,1.029486,0.597222,0.597222
5,1.050167,0.807405,0.727525,0.673112
6,0.907423,0.709194,0.817137,0.761114
7,0.934902,0.741939,0.752388,0.695603
8,0.819119,0.589076,0.785945,0.723832
9,0.640761,0.513619,0.668607,0.604590
10,0.664930,0.486763,0.687334,0.623748
11,22.232560,0.934703,0.643657,0.626255
12,1.125368,1.022030,0.597840,0.597534
13,1.144299,1.185894,0.597222,0.597222
14,1.207680,1.152418,0.597222,0.597222
15,1.172032,1.019493,0.597222,0.597222
16,1.119537,0.938848,0.597222,0.597222
17,0.971849,0.796778,0.597222,0.597222
18,0.807747,0.634914,0.597222,0.597222
19,0.696365,0.587287,0.597222,0.597222
20,0.694052,0.588235,0.597222,0.597222
21,1.263805,1.278712,0.597222,0.597222
22,1.318038,1.267762,0.597222,0.597222
23,1.308492,1.257000,0.597222,0.597222
24,1.299327,1.247437,0.597222,0.597222
25,1.291011,1.238703,0.597222,0.597222
26,1.283633,1.229925,0.597222,0.597222
27,1.276352,1.222216,0.597222,0.597222
28,1.269868,1.214632,0.597222,0.597222
29,1.263561,1.207883,0.597222,0.597222
30,1.257867,1.201161,0.597222,0.597222
31,1.252310,1.195032,0.597222,0.597222
32,1.247203,1.189067,0.597222,0.597222
33,1.242328,1.183446,0.597222,0.597222
34,1.237680,1.178263,0.597222,0.597222
35,1.233347,1.173248,0.597222,0.597222
36,1.229396,1.168071,0.597222,0.597222
37,1.225309,1.163607,0.597222,0.597222
38,1.221701,1.159131,0.597222,0.597222
39,1.218077,1.155130,0.597222,0.597222
40,1.214794,1.151142,0.597222,0.597222
41,1.211638,1.147264,0.597222,0.597222
42,1.208544,1.143888,0.597222,0.597222
43,1.205789,1.140094,0.597222,0.597222
44,1.202928,1.136776,0.597222,0.597222
45,1.200363,1.133448,0.597222,0.597222
46,1.197844,1.130336,0.597222,0.597222
47,1.195520,1.127230,0.597222,0.597222
48,1.193189,1.124471,0.597222,0.597222
49,1.191080,1.121665,0.597222,0.597222
50,1.189052,1.118955,0.597222,0.597222
51,1.187052,1.116514,0.597222,0.597222
52,1.185221,1.114067,0.597222,0.597222
53,1.183661,1.111307,0.597222,0.597222
54,1.181638,1.109660,0.597222,0.597222
55,1.180174,1.107418,0.597222,0.597222
56,1.178709,1.105103,0.597222,0.597222
57,1.177118,1.103330,0.597222,0.597222
58,1.175815,1.101316,0.597222,0.597222
59,1.174472,1.099461,0.597222,0.597222
60,1.173212,1.097702,0.597222,0.597222
61,1.171987,1.096118,0.597222,0.597222
62,1.170919,1.094390,0.597222,0.597222
63,1.169786,1.092849,0.597222,0.597222
64,1.168748,1.091404,0.597222,0.597222
65,1.167795,1.089929,0.597222,0.597222
66,1.166806,1.088681,0.597222,0.597222
67,1.165991,1.087181,0.597222,0.597222
68,1.165156,1.085778,0.597222,0.597222
69,1.164252,1.084682,0.597222,0.597222
70,1.163521,1.083575,0.597222,0.597222
71,1.162823,1.082293,0.597222,0.597222
72,1.162127,1.081078,0.597222,0.597222
73,1.161487,1.079920,0.597222,0.597222
74,1.160735,1.079131,0.597222,0.597222
75,1.160184,1.078288,0.597222,0.597222
76,1.159628,1.077297,0.597222,0.597222
77,1.159178,1.076086,0.597222,0.597222
78,1.158591,1.075142,0.597222,0.597222
79,1.157992,1.074581,0.597222,0.597222
80,1.157638,1.073658,0.597222,0.597222
81,1.157112,1.072998,0.597222,0.597222
82,1.156765,1.072055,0.597222,0.597222
83,1.156293,1.071512,0.597222,0.597222
84,1.155918,1.070888,0.597222,0.597222
85,1.155618,1.070024,0.597222,0.597222
86,1.155203,1.069514,0.597222,0.597222
87,1.154877,1.068759,0.597222,0.597222
88,1.154539,1.068288,0.597222,0.597222
89,1.154297,1.067538,0.597222,0.597222
90,1.154001,1.066873,0.597222,0.597222
91,1.153715,1.066493,0.597222,0.597222
92,1.153434,1.065997,0.597222,0.597222
93,1.153196,1.065403,0.597222,0.597222
94,1.153042,1.064707,0.597222,0.597222
95,1.152748,1.064249,0.597222,0.597222
96,1.152519,1.064063,0.597222,0.597222
97,1.152373,1.063436,0.597222,0.597222
98,1.152121,1.063130,0.597222,0.597222
99,1.151972,1.062641,0.597222,0.597222
100,1.151822,1.062282,0.597222,0.597222
